city,year,month,type,value
Amarillo,2005,5,price,112700
Amarillo,2005,6,sales,340
Amarillo,2005,6,price,117000
Amarillo,2005,7,sales,314
Amarillo,2005,7,price,107200
Amarillo,2005,8,sales,317
Amarillo,2005,8,price,112600
Amarillo,2005,9,sales,309
Amarillo,2005,9,price,111800
Amarillo,2005,10,sales,67
Amarillo,2005,10,price,87000
Amarillo,2005,11,sales,235
Amarillo,2005,11,price,112400
Amarillo,2005,12,sales,211
Amarillo,2005,12,price,102500
Amarillo,2006,1,sales,156
Amarillo,2006,1,price,115000
Amarillo,2006,2,sales,242
Amarillo,2006,2,price,110700
Amarillo,2006,3,sales,321
Amarillo,2006,3,price,105100
Amarillo,2006,4,sales,251
Amarillo,2006,4,price,108700
Amarillo,2006,5,sales,348
Amarillo,2006,5,price,123000
Amarillo,2006,6,sales,345
Amarillo,2006,6,price,120700
Amarillo,2006,7,sales,324
Amarillo,2006,7,price,124300
Amarillo,2006,8,sales,362
Amarillo,2006,8,price,122200
Amarillo,2006,9,sales,288
Amarillo,2006,9,price,114100
Amarillo,2006,10,sales,301
Amarillo,2006,10,price,107400
Amarillo,2006,11,sales,235
Amarillo,2006,11,price,114200
Amarillo,2006,12,sales,272
Amarillo,2006,12,price,105200
Amarillo,2007,1,sales,179
Amarillo,2007,1,price,112600
Amarillo,2007,2,sales,265
Amarillo,2007,2,price,105000
Amarillo,2007,3,sales,277
Amarillo,2007,3,price,117100
Amarillo,2007,4,sales,285
Amarillo,2007,4,price,118400
Amarillo,2007,5,sales,351
Amarillo,2007,5,price,113800
Amarillo,2007,6,sales,348
Amarillo,2007,6,price,117700
Amarillo,2007,7,sales,326
Amarillo,2007,7,price,114400
Amarillo,2007,8,sales,315
Amarillo,2007,8,price,133100
Amarillo,2007,9,sales,242
Amarillo,2007,9,price,121800
Amarillo,2007,10,sales,243
Amarillo,2007,10,price,116100
Amarillo,2007,11,sales,253
Amarillo,2007,11,price,114800
Amarillo,2007,12,sales,216
Amarillo,2007,12,price,129000
Amarillo,2008,1,sales,187
Amarillo,2008,1,price,123600
Amarillo,2008,2,sales,274
Amarillo,2008,2,price,122700
Amarillo,2008,3,sales,264
Amarillo,2008,3,price,122300
Amarillo,2008,4,sales,299
Amarillo,2008,4,price,124900
Amarillo,2008,5,sales,291
Amarillo,2008,5,price,122200
Amarillo,2008,6,sales,296
Amarillo,2008,6,price,122600
Amarillo,2008,7,sales,324
Amarillo,2008,7,price,123100
Amarillo,2008,8,sales,284
Amarillo,2008,8,price,129500
Amarillo,2008,9,sales,254
Amarillo,2008,9,price,132700
Amarillo,2008,10,sales,226
Amarillo,2008,10,price,130000
Amarillo,2008,11,sales,140
Amarillo,2008,11,price,116500
Amarillo,2008,12,sales,170
Amarillo,2008,12,price,117900
Amarillo,2009,1,sales,151
Amarillo,2009,1,price,127300
Amarillo,2009,2,sales,179
Amarillo,2009,2,price,118800
Amarillo,2009,3,sales,202
Amarillo,2009,3,price,121200
Amarillo,2009,4,sales,227
Amarillo,2009,4,price,126000
Amarillo,2009,5,sales,247
Amarillo,2009,5,price,129500
Amarillo,2009,6,sales,307
Amarillo,2009,6,price,126000
Amarillo,2009,7,sales,254
Amarillo,2009,7,price,124600
Amarillo,2009,8,sales,246
Amarillo,2009,8,price,124700
Amarillo,2009,9,sales,251
Amarillo,2009,9,price,117600
Amarillo,2009,10,sales,266
Amarillo,2009,10,price,123700
Amarillo,2009,11,sales,263
Amarillo,2009,11,price,123500
Amarillo,2009,12,sales,204
Amarillo,2009,12,price,116500
Amarillo,2010,1,sales,107
Amarillo,2010,1,price,131200
Amarillo,2010,2,sales,178
Amarillo,2010,2,price,115000
Amarillo,2010,3,sales,203
Amarillo,2010,3,price,113500
Amarillo,2010,4,sales,293
Amarillo,2010,4,price,122800
Amarillo,2010,5,sales,333
Amarillo,2010,5,price,122100
Amarillo,2010,6,sales,272
Amarillo,2010,6,price,139400
Amarillo,2010,7,sales,182
Amarillo,2010,7,price,126200
Amarillo,2010,8,sales,247
Amarillo,2010,8,price,130300
Amarillo,2010,9,sales,205
Amarillo,2010,9,price,125800
Amarillo,2010,10,sales,216
Amarillo,2010,10,price,125500
Amarillo,2010,11,sales,135
Amarillo,2010,11,price,130700
Amarillo,2010,12,sales,185
Amarillo,2010,12,price,118900
Amarillo,2011,1,sales,122
Amarillo,2011,1,price,122700
Amarillo,2011,2,sales,153
Amarillo,2011,2,price,113800
Amarillo,2011,3,sales,221
Amarillo,2011,3,price,123500
Amarillo,2011,4,sales,226
Amarillo,2011,4,price,126200
Amarillo,2011,5,sales,239
Amarillo,2011,5,price,126600
Amarillo,2011,6,sales,276
Amarillo,2011,6,price,136000
Amarillo,2011,7,sales,267
Amarillo,2011,7,price,124400
Amarillo,2011,8,sales,390
Amarillo,2011,8,price,137100
Amarillo,2011,9,sales,202
Amarillo,2011,9,price,128000
Amarillo,2011,10,sales,221
Amarillo,2011,10,price,126800
Amarillo,2011,11,sales,196
Amarillo,2011,11,price,128100
Amarillo,2011,12,sales,192
Amarillo,2011,12,price,126700
Amarillo,2012,1,sales,143
Amarillo,2012,1,price,125500
Amarillo,2012,2,sales,162
Amarillo,2012,2,price,122500
Amarillo,2012,3,sales,248
Amarillo,2012,3,price,131000
Amarillo,2012,4,sales,251
Amarillo,2012,4,price,132100
Amarillo,2012,5,sales,256
Amarillo,2012,5,price,145000
Amarillo,2012,6,sales,320
Amarillo,2012,6,price,131500
Amarillo,2012,7,sales,268
Amarillo,2012,7,price,139300
Amarillo,2012,8,sales,302
Amarillo,2012,8,price,141800
Amarillo,2012,9,sales,265
Amarillo,2012,9,price,136600
Amarillo,2012,10,sales,242
Amarillo,2012,10,price,138500
Amarillo,2012,11,sales,248
Amarillo,2012,11,price,121500
Amarillo,2012,12,sales,228
Amarillo,2012,12,price,128300
Amarillo,2013,1,sales,187
Amarillo,2013,1,price,115000
Amarillo,2013,2,sales,175
Amarillo,2013,2,price,127700
Amarillo,2013,3,sales,252
Amarillo,2013,3,price,126200
Amarillo,2013,4,sales,302
Amarillo,2013,4,price,138900
Amarillo,2013,5,sales,304
Amarillo,2013,5,price,137900
Amarillo,2013,6,sales,275
Amarillo,2013,6,price,145100
Amarillo,2013,7,sales,308
Amarillo,2013,7,price,149700
Amarillo,2013,8,sales,287
Amarillo,2013,8,price,145600
Amarillo,2013,9,sales,257
Amarillo,2013,9,price,139700
Amarillo,2013,10,sales,256
Amarillo,2013,10,price,143700
Amarillo,2013,11,sales,209
Amarillo,2013,11,price,132400
Amarillo,2013,12,sales,245
Amarillo,2013,12,price,142200
Amarillo,2014,1,sales,164
Amarillo,2014,1,price,137500
Amarillo,2014,2,sales,205
Amarillo,2014,2,price,139000
Amarillo,2014,3,sales,244
Amarillo,2014,3,price,138100
Amarillo,2014,4,sales,260
Amarillo,2014,4,price,139400
Amarillo,2014,5,sales,290
Amarillo,2014,5,price,137000
Amarillo,2014,6,sales,351
Amarillo,2014,6,price,145700
Amarillo,2014,7,sales,305
Amarillo,2014,7,price,150900
Amarillo,2014,8,sales,279
Amarillo,2014,8,price,152500
Amarillo,2014,9,sales,272
Amarillo,2014,9,price,136700
Amarillo,2014,10,sales,267
Amarillo,2014,10,price,141100
Amarillo,2014,11,sales,226
Amarillo,2014,11,price,137900
Amarillo,2014,12,sales,239
Amarillo,2014,12,price,145200
Amarillo,2015,1,sales,204
Amarillo,2015,1,price,138500
Amarillo,2015,2,sales,188
Amarillo,2015,2,price,149400
Amarillo,2015,3,sales,317
Amarillo,2015,3,price,140900
Amarillo,2015,4,sales,314
Amarillo,2015,4,price,147200
Amarillo,2015,5,sales,339
Amarillo,2015,5,price,157900
Amarillo,2015,6,sales,342
Amarillo,2015,6,price,152100
Amarillo,2015,7,sales,354
Amarillo,2015,7,price,149700
Arlington,2000,1,sales,241
Arlington,2000,1,price,94000
Arlington,2000,2,sales,337
Arlington,2000,2,price,94300
Arlington,2000,3,sales,493
Arlington,2000,3,price,98700
Arlington,2000,4,sales,456
Arlington,2000,4,price,99000
Arlington,2000,5,sales,498
Arlington,2000,5,price,103000
Arlington,2000,6,sales,491
Arlington,2000,6,price,107900
Arlington,2000,7,sales,446
Arlington,2000,7,price,105800
Arlington,2000,8,sales,507
Arlington,2000,8,price,103400
Arlington,2000,9,sales,407
Arlington,2000,9,price,110500
Arlington,2000,10,sales,392
Arlington,2000,10,price,104100
Arlington,2000,11,sales,338
Arlington,2000,11,price,107700
Arlington,2000,12,sales,363
Arlington,2000,12,price,105700
Arlington,2001,1,sales,266
Arlington,2001,1,price,105700
Arlington,2001,2,sales,402
Arlington,2001,2,price,106400
Arlington,2001,3,sales,481
Arlington,2001,3,price,109700
Arlington,2001,4,sales,487
Arlington,2001,4,price,111600
Arlington,2001,5,sales,536
Arlington,2001,5,price,114400
Arlington,2001,6,sales,534
Arlington,2001,6,price,108500
Arlington,2001,7,sales,500
Arlington,2001,7,price,116000
Arlington,2001,8,sales,505
Arlington,2001,8,price,113600
Arlington,2001,9,sales,442
Arlington,2001,9,price,112000
Arlington,2001,10,sales,407
Arlington,2001,10,price,113200
Arlington,2001,11,sales,425
Arlington,2001,11,price,111700
Arlington,2001,12,sales,353
Arlington,2001,12,price,116400
Arlington,2002,1,sales,314
Arlington,2002,1,price,112000
Arlington,2002,2,sales,378
Arlington,2002,2,price,107500
Arlington,2002,3,sales,461
Arlington,2002,3,price,113700
Arlington,2002,4,sales,468
Arlington,2002,4,price,111800
Arlington,2002,5,sales,503
Arlington,2002,5,price,116100
Arlington,2002,6,sales,495
Arlington,2002,6,price,116300
Arlington,2002,7,sales,509
Arlington,2002,7,price,119100
Arlington,2002,8,sales,467
Arlington,2002,8,price,117200
Arlington,2002,9,sales,426
Arlington,2002,9,price,116100
Arlington,2002,10,sales,423
Arlington,2002,10,price,116000
Arlington,2002,11,sales,368
Arlington,2002,11,price,116600
Arlington,2002,12,sales,391
Arlington,2002,12,price,117100
Arlington,2003,1,sales,335
Arlington,2003,1,price,114500
Arlington,2003,2,sales,370
Arlington,2003,2,price,119500
Arlington,2003,3,sales,459
Arlington,2003,3,price,119900
Arlington,2003,4,sales,420
Arlington,2003,4,price,113800
Arlington,2003,5,sales,502
Arlington,2003,5,price,118000
Arlington,2003,6,sales,495
Arlington,2003,6,price,122900
Arlington,2003,7,sales,524
Arlington,2003,7,price,123500
Arlington,2003,8,sales,531
Arlington,2003,8,price,123900
Arlington,2003,9,sales,451
Arlington,2003,9,price,119200
Arlington,2003,10,sales,451
Arlington,2003,10,price,123400
Arlington,2003,11,sales,362
Arlington,2003,11,price,123100
Arlington,2003,12,sales,405
Arlington,2003,12,price,120200
Arlington,2004,1,sales,288
Arlington,2004,1,price,114500
Arlington,2004,2,sales,354
Arlington,2004,2,price,120400
Arlington,2004,3,sales,493
Arlington,2004,3,price,117000
Arlington,2004,4,sales,489
Arlington,2004,4,price,117100
Arlington,2004,5,sales,527
Arlington,2004,5,price,118300
Arlington,2004,6,sales,515
Arlington,2004,6,price,121300
Arlington,2004,7,sales,578
Arlington,2004,7,price,123800
Arlington,2004,8,sales,515
Arlington,2004,8,price,121500
Arlington,2004,9,sales,480
Arlington,2004,9,price,120300
Arlington,2004,10,sales,464
Arlington,2004,10,price,124100
Arlington,2004,11,sales,394
Arlington,2004,11,price,123700
Arlington,2004,12,sales,446
Arlington,2004,12,price,123300
Arlington,2005,1,sales,327
Arlington,2005,1,price,120500
Arlington,2005,2,sales,364
Arlington,2005,2,price,122200
Arlington,2005,3,sales,492
Arlington,2005,3,price,123900
Arlington,2005,4,sales,548
Arlington,2005,4,price,124600
Arlington,2005,5,sales,579
Arlington,2005,5,price,124200
Arlington,2005,6,sales,660
Arlington,2005,6,price,127000
Arlington,2005,7,sales,588
Arlington,2005,7,price,135100
Arlington,2005,8,sales,628
Arlington,2005,8,price,132800
Arlington,2005,9,sales,551
Arlington,2005,9,price,134100
Arlington,2005,10,sales,482
Arlington,2005,10,price,130700
Arlington,2005,11,sales,448
Arlington,2005,11,price,130500
Arlington,2005,12,sales,484
Arlington,2005,12,price,135600
Arlington,2006,1,sales,348
Arlington,2006,1,price,125200
Arlington,2006,2,sales,415
Arlington,2006,2,price,125500
Arlington,2006,3,sales,578
Arlington,2006,3,price,129500
Arlington,2006,4,sales,583
Arlington,2006,4,price,128600
Arlington,2006,5,sales,656
Arlington,2006,5,price,129300
Arlington,2006,6,sales,720
Arlington,2006,6,price,134300
Arlington,2006,7,sales,621
Arlington,2006,7,price,132600
Arlington,2006,8,sales,715
