name,address,city,state,stars,review_count,Name
Pearl Villa Seafood Restaurant,25-27 Tyler St,Boston,MA,3.5,37,Chinatown
Napoles Restaurant,1233 Bennington St,Boston,MA,3,19,East Boston
Meritage Restaurant,70 Rowes Wharf,Boston,MA,4,300,Downtown
Maggiano's Little Italy,4 Columbus Ave,Boston,MA,3.5,908,Downtown
Sissy K's,6 Commercial St,Boston,MA,3,320,Downtown
Game On,82 Lansdowne St,Boston,MA,3,363,Fenway
Odyssey Cruises Boston,60 Rowes Wharf,Boston,MA,4,173,Downtown
Shake Shack,77 Seaport Blvd,Boston,MA,3,195,South Boston Waterfront
Newbury Street,10 Newbury St,Boston,MA,4,92,Back Bay
Mandarin Oriental Hotel,776 Boylston St,Boston,MA,4,95,Back Bay
Subway,1266 Boylston St,Boston,MA,2,15,Fenway
Paddy O's,33 Union St,Boston,MA,3,195,Downtown
Subway,"1578 Tremont St, Unit 1",Boston,MA,3,9,Mission Hill
Thaitation,129 Jersey St,Boston,MA,4,315,Fenway
Metropolis,584 Tremont St,Boston,MA,4,486,South End
Grotto,37 Bowdoin St,Boston,MA,4,815,Beacon Hill
Pret A Manger,176 Federal St,Boston,MA,3.5,14,Downtown
Harry O's Pizza,1405 Washington St,Boston,MA,3,39,South End
Locale,352 Hanover St,Boston,MA,4.5,381,North End
Nunzio's Pizzeria,195 State St,Boston,MA,3.5,45,Downtown
Stephanie’s,1 Harborside Dr,Boston,MA,4,12,East Boston
Friendship BBQ,42 Beach St,Boston,MA,3.5,33,Chinatown
Boston's Big Easy,624 Blue Hill Ave,Boston,MA,3.5,14,Dorchester
Mike's Banh Mi,42 Beach St,Boston,MA,3.5,8,Chinatown
Mohr & McPherson Café,460 Harrison Ave,Boston,MA,3.5,43,South End
McDonald's,340 Longwood Ave,Boston,MA,3,12,Longwood
Arbri Cafe,146 Belgrade Ave,Boston,MA,3,12,Roslindale
Santarpio's Pizza,111 Chelsea St,Boston,MA,4,1281,East Boston
Salty’s,George's Island,Boston,MA,2.5,6,Harbor Islands
Jane's Salad & Buffet,274 Franklin St,Boston,MA,3.5,41,Downtown
Reef Bar,"1 Central Wharf, New England Aquarium",Boston,MA,3.5,5,Downtown
Cosi Sandwich Bar,53 State St,Boston,MA,2.5,6,Downtown
Miel Brasserie,510 Atlantic Ave,Boston,MA,3.5,252,Downtown
Dillon's,955 Boylston St,Boston,MA,3,465,Back Bay
Milkweed,1508 Tremont St,Boston,MA,4.5,654,Mission Hill
Felt,533 Washington St,Boston,MA,2.5,169,Downtown
Cottonwood Cafe,222 Berkeley St Lbby 2,Boston,MA,3,94,Downtown
Jyuba,1260 Boylston St,Boston,MA,3,16,Fenway
Tuscan Kitchen - Seaport,64 Seaport Blvd,Boston,MA,3.5,237,South Boston Waterfront
TR Street Foods,343 Congress St,Boston,MA,4,22,South Boston Waterfront
La Chiva Restaurant,259 Bennington St,Boston,MA,3.5,54,East Boston
Uno Pizzeria & Grill,731 Boylston St.,Boston,MA,3,212,Back Bay
Buco Trattoria,300 Summer St,Boston,MA,4,25,South Boston Waterfront
Mighty Love Food,155 Milk St,Boston,MA,4,50,Downtown
My Cousin's Place,396 Hanover St,Boston,MA,4,89,North End
New American Cafe,465 Huntington Ave,Boston,MA,2.5,62,Fenway
Sushi Time,417 Washington St,Boston,MA,3.5,87,Downtown
Life Alive Organic Cafe,431 Boylston St,Boston,MA,4,107,Back Bay
Bacco,107 Salem St,Boston,MA,3.5,346,North End
House of Blues Boston- Music Venue,15 Lansdowne St,Boston,MA,2.5,745,Fenway
300 Saratoga Cafe,300 Saratoga St,Boston,MA,4,31,East Boston
The Florentine Cafe,333 Hanover St,Boston,MA,3.5,497,North End
Barcelona Wine Bar South End,525 Tremont St,Boston,MA,4.5,1097,South End
West End Johnnies,138 Portland St,Boston,MA,3,311,West End
Sbarro,417 Washington St,Boston,MA,1.5,6,Downtown
The Gallery,100 Stuart St,Boston,MA,3,12,Downtown
Monica's Trattoria,67 Prince St,Boston,MA,3.5,512,North End
Krispy Kreme,800 Boylston Street,Boston,MA,4,10,Back Bay
The Avenue,1249 Commonwealth Ave,Boston,MA,4,378,Allston
Cafe 57 & Grill,5 Henshaw St,Boston,MA,4,13,Brighton
Buddha's Delight,"3 Beach St, 2nd Fl",Boston,MA,3.5,69,Chinatown
PURR Cat Cafe,167 Chestnut Hill Ave,Boston,MA,3.5,33,Brighton
Doughboy Donuts & Deli,220 Dorchester Ave,Boston,MA,4,174,South Boston
Thai Dish,636 Beacon St,Boston,MA,3.5,109,Fenway
Ginger Exchange Symphony,250 Huntington Ave,Boston,MA,3.5,162,Fenway
Spangler Food Court at Harvard Business School,117 Western Ave,Boston,MA,3.5,26,Allston
Maria's Taqueria,226 Tremont St,Boston,MA,4,298,Downtown
Ma Soba,156 Cambridge St,Boston,MA,3,304,Beacon Hill
Amici Italian Cuisine,111 N Washington St,Boston,MA,3,46,North End
Shin Hakata Ramen,173 Massachusetts Ave,Boston,MA,3,133,Fenway
Budweiser Legends Club,"TD Garden, 150 Causeway St",Boston,MA,3,8,West End
163 Vietnamese Sandwiches & Bubble Tea,66 Harrison Ave,Boston,MA,3.5,336,Chinatown
Rebecca's Cafe and Catering,"One Financial Conference & Events Ctr, 675 Atlantic Ave 2nd Fl",Boston,MA,3,13,Downtown
The Gallows,1395 Washington St,Boston,MA,4,859,South End
Jennifer Lee's Gourmet Bakery,100 Hanover St,Boston,MA,3.5,77,Downtown
Casalinga,151 Hanover St,Boston,MA,4.5,52,Downtown
Frank Anthony's Gourmet Market,9 Fan Pier Blvd,Boston,MA,3.5,38,South Boston Waterfront
Johnny's Pockets,419 Baker St,Boston,MA,4.5,14,West Roxbury
Panera Bread,201 Brookline Ave,Boston,MA,3,54,Fenway
The King Restaurant,1894 Centre St,Boston,MA,3.5,7,West Roxbury
Pho Hoa Noodle Soup,17 Beach St,Boston,MA,3,274,Chinatown
The Halal Guys,137 Stuart St,Boston,MA,3.5,234,Downtown
Vino Volo,1 Harborside Dr,Boston,MA,3.5,73,East Boston
Staff Meal,NA,Boston,MA,4,46,South End
Aesop's Bagels,Boston University,Boston,MA,3.5,5,Fenway
Dunkin' Donuts,80 Boylston St,Boston,MA,3.5,30,Downtown
Parish Cafe and Bar,361 Boylston St,Boston,MA,4,1418,Back Bay
Cheeseboy,"South Station Train Concourse, 720 Atlantic Ave",Boston,MA,3.5,100,Downtown
La Sultana Bakery,40 Maverick Sq,Boston,MA,4,54,East Boston
Sophia's Cafe,141 Dorchester Ave,Boston,MA,3.5,44,South Boston
Greenlight Cafe,560 Harrison Ave,Boston,MA,3.5,31,South End
Pepper Pot,208 Dudley St,Boston,MA,3.5,40,Roxbury
33 Restaurant & Lounge,33 Stanhope St,Boston,MA,3,139,Back Bay
Wing's Kitchen,23 Hudson St,Boston,MA,4,83,Chinatown
Tsaocaa,10A Tyler St,Boston,MA,3.5,23,Chinatown
New York Pizza,435 Massachusetts Ave,Boston,MA,3,134,Roxbury
Muscarella's Market,570 Tremont St,Boston,MA,4,19,South End
Pizza Oggi,131 Broad St,Boston,MA,3.5,11,Downtown
Que Padre,386 Chelsea St,Boston,MA,4.5,19,East Boston
Shredded,246 W Broadway,Boston,MA,2.5,22,South Boston
Azure,710 Boylston St,Boston,MA,3.5,44,Back Bay
The Point,147 Hanover St,Boston,MA,3.5,204,Downtown
Tavern In The Square,120 Beverly St,Boston,MA,3.5,266,West End
Champions,110 Huntington Avenue,Boston,MA,3,263,Back Bay
Rudi's Resto Café & Bar,811 Massachusetts Ave,Boston,MA,3,21,Roxbury
Brother Trucker - Go Fish!,NA,Boston,MA,3.5,29,South End
Parish Cafe,493 Massachusetts Ave,Boston,MA,4,252,Roxbury
Charles Street Market,66 Charles St,Boston,MA,3.5,14,Beacon Hill
Boston Super Dog,46 Newmarket Sq,Boston,MA,4.5,107,South Boston
Lucky Strike Boston,145 Ipswich St,Boston,MA,2.5,486,Fenway
PABU Izakaya Boston,3 Franklin St,Boston,MA,4,413,Downtown
New Shanghai,21 Hudson St,Boston,MA,3,114,Chinatown
Red Moon,1299 River St,Boston,MA,3.5,10,Hyde Park
Symphony 8,8 Westland Ave,Boston,MA,2.5,101,Fenway
Cafe Golden Horn,334 Massachusetts Ave,Boston,MA,3.5,15,Back Bay
M C Spiedo,606 Congress St,Boston,MA,3,62,South Boston Waterfront
Rail Stop Restaurant & Bar,96 Guest St,Boston,MA,4,132,Brighton
Mala Restaurant,129 Brighton Ave,Boston,MA,3.5,262,Allston
Pho's Asian,15 Duncan St,Boston,MA,2,5,Dorchester
Kaya Restaurant,581 Boylston St Lbby,Boston,MA,3,13,Downtown
Café Quattro,817 Harrison Ave,Boston,MA,4,70,South End
Z Square,580 Commonwealth Ave,Boston,MA,3.5,15,Fenway
Bertucci's,533 Commonwealth Ave,Boston,MA,3,133,Fenway
Haru Sushi - Boston,55 Huntington Ave,Boston,MA,3,492,Back Bay
Tico Boston,222 Berkeley St,Boston,MA,3.5,567,Back Bay
Ice Age,8 Tyler St,Boston,MA,4,71,Chinatown
Joe's Famous Steak & Cheese,140 Dudley St,Boston,MA,4,37,Roxbury
Alma Gaucha,401 D St Boston,Boston,MA,4.5,36,South Boston Waterfront
DJ's at The Garden,222 Friend St,Boston,MA,3,36,West End
Papagayo,283 Summer St,Boston,MA,3.5,551,South Boston Waterfront
Au Bon Pain,75 Federal St,Boston,MA,3,6,Downtown
Cafe 26,26 Temple Pl,Boston,MA,4,248,Downtown
Boston Chowda Co,"Prudential Center Food Court, 800 Boylston St",Boston,MA,3.5,110,Back Bay
Back Bay Sandwich,31 St James Ave,Boston,MA,4,140,Back Bay
Dumpling Palace,179 Massachusetts Ave,Boston,MA,3,442,Fenway
Tremont House Of Pizza,1590 Tremont St,Boston,MA,3,46,Mission Hill
Rhythm 'n Wraps Truck,NA,Boston,MA,4.5,50,Fenway
Render Coffee,563 Columbus Ave,Boston,MA,4.5,496,South End
Souper Salad,209 Berkeley St,Boston,MA,3,49,Back Bay
Clover Food Lab,565 Boylston St,Boston,MA,4.5,8,Back Bay
Pier Fish Co,10 Newmarket Sq,Boston,MA,4.5,8,South Boston
T's Pub,973 Commonwealth Ave,Boston,MA,3,119,Allston
Steve's Greek Cuisine,1 Faneuil Hall Sq,Boston,MA,2.5,72,Downtown
"MOOYAH Burgers, Fries & Shakes","225 Centre St, Ste B1",Boston,MA,2.5,35,Jamaica Plain
QDOBA Mexican Eats,"393 Huntington Ave, Ste 101",Boston,MA,3,138,Fenway
The Hub Pub,18 Province St,Boston,MA,3,212,Downtown
Eat Street Cafe,55 Fruit St,Boston,MA,3.5,31,West End
Cactus Club,939 Boylston St,Boston,MA,3,348,Back Bay
Mr. Dooley's,77 Broad St,Boston,MA,4,431,Downtown
Saus,33 Union St,Boston,MA,4,1253,Downtown
UBurger,140 Tremont St,Boston,MA,3.5,126,Downtown
Pho 1 Brighton,1799 Commonwealth Ave,Boston,MA,4,57,Brighton
Loconte's Italian Cuisine,116 Salem St,Boston,MA,3.5,304,North End
J. Pace & Sons,42 Cross St,Boston,MA,4,29,North End
Popover King,74 Canal St,Boston,MA,4,92,West End
Jen Lai Noodle & Rice Company,4 S Market St,Boston,MA,2,22,Downtown
Quincy's Place,254 S Market St,Boston,MA,3.5,27,Downtown
Zen Japanese Grill & Sushi Bar,21A Beacon St,Boston,MA,4,302,Downtown
Mana Escondido Café,68 Aguadilla St,Boston,MA,4.5,91,South End
Cardullo's Gourmet Shoppe,99 Seaport Blvd,Boston,MA,3.5,17,South Boston Waterfront
Mangia Neapolitan Pizzeria,"537 Columbus Ave, Ste A",Boston,MA,3,74,South End
Zuma,"1 Dalton St, Fl 2",Boston,MA,4,122,Back Bay
Circle,604 Columbus Ave,Boston,MA,3.5,11,Roxbury
Bonfire,50 Park Plaza,Boston,MA,3.5,44,Downtown
Hurricane's at the Garden,150 Canal St,Boston,MA,3.5,39,West End
Wong's of Boston,417 Washington St,Boston,MA,3,30,Downtown
Canton Eatery,339 Meridian St,Boston,MA,2.5,76,East Boston
Rebecca's Cafe,One Financial Ctr,Boston,MA,2.5,12,Downtown
The Sausage Guy,49 Lansdowne St,Boston,MA,3.5,31,Fenway
Myers & Chang,1145 Washington St,Boston,MA,4,1681,South End
McFly’s,"754 E Broadway, Ste 2",Boston,MA,4,5,South Boston
Lower Mills Tavern,2269 Dorchester Ave,Boston,MA,4,141,Mattapan
Hot Pot Buffet,70 Beach St,Boston,MA,3.5,577,Chinatown
Marva's Place,154 Mavarick St,Boston,MA,5,6,East Boston
Locke-Ober,3 Winter Pl,Boston,MA,3.5,113,Downtown
Society On High,99 High St,Boston,MA,2.5,156,Downtown
Boston Pocket & Deli,682 Tremont St,Boston,MA,5,14,South End
Barking Crab,88 Sleeper St,Boston,MA,3,2163,NA
Caffe Lil Italy,178 Salem St,Boston,MA,3.5,60,North End
Domino's Pizza,1144 Saratoga St,Boston,MA,2,35,East Boston
Clay Pot Cafe,74 Kneeland St,Boston,MA,4,337,Chinatown
GreCo,200 Pier Four Blvd,Boston,MA,4.5,52,South Boston Waterfront
Stella,1525 Washington St,Boston,MA,4,816,South End
B&G Oysters,550 Tremont St,Boston,MA,4,1055,South End
Trio Cafe Boston,33A Boston Fish Pier,Boston,MA,3.5,5,NA
Noche,3 Appleton St,Boston,MA,3.5,126,South End
Au Bon Pain,431 Boylston St,Boston,MA,3,9,Back Bay
Linwood Grill & BBQ Restaurant,69 Kilmarnock St,Boston,MA,2.5,14,Fenway
South Ocean,710 E Broadway,Boston,MA,3,20,South Boston
Starbucks,1304 Commonwealth Ave,Boston,MA,3,51,Allston
Jose McIntyre's,160 Milk St,Boston,MA,3,115,Downtown
Prezza,24 Fleet St,Boston,MA,4,336,North End
Max & Dylans,15 West St,Boston,MA,3.5,249,Downtown
Caffe Pompei,278 Hanover St,Boston,MA,2.5,314,North End
Pasteur,5 Beach Street,Boston,MA,3,8,Chinatown
Shino Express Sushi,144 Newbury St,Boston,MA,3.5,104,Back Bay
Murl's Kitchen,143 Washington St,Boston,MA,4.5,23,Dorchester
Kaze Shabu Shabu,1 Harrison Ave,Boston,MA,4,574,Chinatown
Ames Plow Tavern,294 Faneuil Hall Marketplace,Boston,MA,3,80,Downtown
Mother Juice,100 Hanover St,Boston,MA,4,58,Downtown
Jack and the Bean Bowl,587 Boylston St,Boston,MA,4,6,Back Bay
Blaze Pizza,1282 Boylston,Boston,MA,4,248,Fenway
Sorelle,282 Congress St,Boston,MA,3,140,Downtown
Our House East,52 Gainsborough St,Boston,MA,2.5,82,Fenway
Dawat Fine Indian Cuisine,129 Brighton Ave,Boston,MA,3,16,Allston
sweetgreen,60 State St,Boston,MA,3,35,Downtown
Barracuda On The Fly,55 Bromfield St,Boston,MA,4,8,Downtown
Paris Creperie Seaport,60 Seaport Blvd,Boston,MA,4.5,31,South Boston Waterfront
Tiger Lily,8 Westland Ave,Boston,MA,2.5,28,Fenway
Rowes Wharf Sea Grille,70 Rowes Wharf,Boston,MA,3.5,210,Downtown
Cappy’s Pizza & Subs,82 Westland Ave,Boston,MA,2.5,137,Fenway
Black Seed Cafe & Grill,131 Tremont St,Boston,MA,3.5,249,Downtown
The Sevens Ale House,77 Charles St,Boston,MA,3.5,281,Beacon Hill
Select Oyster Bar,50 Gloucester St,Boston,MA,4,367,Back Bay
Precinct Kitchen + Bar,154 Berkeley St,Boston,MA,3.5,252,Back Bay
Ankara Cafe,472 Commonwealth Ave,Boston,MA,3,68,Fenway
Stir,102 Waltham St,Boston,MA,4.5,43,South End
Theo's Cozy Corner,162 Salem St,Boston,MA,4.5,513,North End
Amsterdam Falafelshop,642 Beacon St,Boston,MA,4.5,91,Fenway
St King Tavern,1 Court St,Boston,MA,4,9,Downtown
Xi'An Street Foods,182 Brighton Ave,Boston,MA,3,47,Allston
Tatte Bakery,201 Washington St,Boston,MA,4.5,35,Downtown
Hong Kong At Faneuil Hall,65 Chatham St,Boston,MA,3,429,Downtown
La Baguette Marche,1 Harborside Dr,Boston,MA,1.5,10,East Boston
A1 Grill & Pizza,2350 Washington St,Boston,MA,1.5,14,Roxbury
Rigoletto Ristorante,115 Salem St,Boston,MA,4,312,North End
Mariel,10 Post Office Square,Boston,MA,4,169,Downtown
Grand Tour,314 Newbury St,Boston,MA,4,25,Back Bay
B.Good Burgers - Take Out Only,1 Harborside Dr,Boston,MA,3,26,East Boston
Caffe Nuovo,76 Salem St,Boston,MA,3,62,North End
anoush'ella,401 Park Dr,Boston,MA,4.5,7,Fenway
honeygrow,1282 Boylston St,Boston,MA,3.5,128,Fenway
Van Shabu & Bar,1156 Dorchester Ave,Boston,MA,3.5,284,Dorchester
Canestaro Restaurant & Pizzeria,16 Peterborough St,Boston,MA,4,132,Fenway
Jerry Remy's Sports Bar & Grill,1265 Boylston St,Boston,MA,3,347,Fenway
Mass College of Art - The Dining Commons,"625 Huntington Ave, MassArt Kennedy Bldg",Boston,MA,2,8,Longwood
Gennaro's 5 North Square,5 N Sq,Boston,MA,3.5,196,North End
Andre's Cafe,811 Harrison Ave,Boston,MA,4,140,South End
Sweet Cheeks Q,1381 Boylston St,Boston,MA,3.5,1543,Fenway
Coogan's,171 Milk St,Boston,MA,2.5,309,Downtown
Mumbai Spice,251 Massachusetts Ave,Boston,MA,3,185,Fenway
Num Pang Kitchen,800 Boylston St,Boston,MA,3.5,132,Back Bay
Toscano Restaurant,47 Charles St,Boston,MA,4,492,Beacon Hill
Wendy's,1 Harborside Dr,Boston,MA,2.5,18,East Boston
Caffè Nero,298 Washington St,Boston,MA,4.5,15,Brighton
The Dish,253 Shawmut Ave,Boston,MA,4,45,South End
Montecristo Mexican Grill,748 Huntington Ave,Boston,MA,2.5,309,Mission Hill
Decca,"Charlestown Navy Yard, Bldg 10",Boston,MA,4,50,Charlestown
The Grand Canal,57 Canal St,Boston,MA,2.5,140,West End
Rice Bowl,6 Hemenway St,Boston,MA,3,128,Fenway
Mama Blanca Restaurant,1045 Saratoga St,Boston,MA,3,15,East Boston
Café de Lulu,42 Beach St,Boston,MA,3.5,155,Chinatown
Pizzeria Rico,32 Bromfield St,Boston,MA,3.5,53,Downtown
Stats Bar & Grille,77 Dorchester St,Boston,MA,3.5,130,South Boston
Chinatown Cafe,262 Harrison Ave,Boston,MA,4,190,Chinatown
Firehouse Subs,545 Boylston St,Boston,MA,3.5,66,Back Bay
My Big Fat Greek Pizza,10 Walk Hill St,Boston,MA,2.5,23,Jamaica Plain
Market,21 Broad St,Boston,MA,2,135,Downtown
Battery Park Bar & Patio,33 Batterymarch St,Boston,MA,3.5,246,Downtown
wagamama - seaport,100 Northern Ave,Boston,MA,4,177,South Boston Waterfront
The Wine Cellar,30 Massachusetts Ave,Boston,MA,3,201,Back Bay
Mike's City Diner,1714 Washington St,Boston,MA,4,613,South End
Quan's Kitchen Chinese Food,1026 Commonwealth Ave,Boston,MA,3,107,NA
Restaurante Montecristo,36 Central Sq,Boston,MA,3,52,East Boston
Kings Dining & Entertainment - Boston Seaport,60 Seaport Blvd,Boston,MA,4,200,South Boston Waterfront
Wahlburgers,9 District Ave,Boston,MA,3.5,154,Dorchester
La Cancun,192 Sumner St,Boston,MA,4,105,East Boston
Mr. Kushari egyptian,1250 Boylston St,Boston,MA,5,8,Fenway
UFood Grill,"Boston Logan International Airport, Terminal B, 1 Harborside Dr",Boston,MA,2.5,58,East Boston
sweetgreen,372 Congress St,Boston,MA,4,153,South Boston Waterfront
Bagels Etc,70 Staniford St,Boston,MA,2,5,West End
The Daily Catch,323 Hanover St,Boston,MA,4,1676,North End
McCormick & Schmick's Seafood & Steaks,34 Columbus Ave,Boston,MA,3,296,Downtown
Newsfeed Cafe,700 Boylston St,Boston,MA,3,47,Back Bay
Tasty Burger,1 Nashua St,Boston,MA,3,52,West End
Salsa's Mexican Grill,417 Washington St,Boston,MA,3,5,Downtown
75 Chestnut,75 Chestnut St,Boston,MA,4,489,Beacon Hill
Regina Pizzeria,700 Atlantic Ave,Boston,MA,3,34,Downtown
Shaking Crab - Boston Common,140 Boylston St,Boston,MA,3.5,131,Downtown
Thinking Cup,85 Newbury St,Boston,MA,4,808,Back Bay
Gourmet Eatery,70 Tyler St,Boston,MA,4.5,6,Chinatown
Finagle A Bagel,277 Cambridge St,Boston,MA,3,70,West End
The Creperie On Newbury,259 Newbury St,Boston,MA,3.5,60,Back Bay
Legal Crossing,558 Washington St,Boston,MA,3.5,373,Downtown
Brigham & Women's Hospital - Cafeteria,75 Francis St,Boston,MA,2,14,Longwood
Dirty Water Dough,222 Newbury St,Boston,MA,4,469,Back Bay
by CHLOE. Boston Seaport,107 Seaport Blvd,Boston,MA,4,298,South Boston Waterfront
M&J Teriyaki,130 Jersey St,Boston,MA,4,38,Fenway
The Bar Room,5 Broad St,Boston,MA,2.5,32,Downtown
Boston Deli Deluxe,104 South St,Boston,MA,3.5,6,Leather District
City Landing,255 State St,Boston,MA,4,157,Downtown
Snappy Sushi,108 Newbury St,Boston,MA,3,477,Back Bay
Pan Roma Pizzeria & Grill,1026 A Commonwealth,Boston,MA,2.5,54,NA
JJ Foleys Cafe,117 E Berkeley St,Boston,MA,4,210,South End
Milk Street Cafe,50 Milk St,Boston,MA,3.5,124,Downtown
Chipotle Mexican Grill,101 Summer St,Boston,MA,3,95,Downtown
Baco Banh Mi,1095 Commonweath Ave,Boston,MA,4,20,Allston
Fresh Food Generation,196 Quincy St,Boston,MA,4.5,18,Roxbury
Fuyami,117 Chiswick Rd,Boston,MA,4,27,Brighton
Lobby Bar & Kitchen,131 Broad St,Boston,MA,3,36,Downtown
Qdoba Mexican Grill,800 Boylston St,Boston,MA,3,30,Back Bay
Ned Devine's Pub,1 Faneuil Hall Marketplace,Boston,MA,3,513,Downtown
My Thai Vegan Cafe,"3 Beach St, Fl 2",Boston,MA,3.5,853,Chinatown
Oriental House Restaurant,560 Washington St,Boston,MA,1.5,27,Dorchester
An Tain,31 India St,Boston,MA,3.5,75,Downtown
Nico Ristorante,417 Hanover St,Boston,MA,4,578,North End
South Boston Chinese Restaurant,429 W Broadway,Boston,MA,2.5,47,South Boston
Silvertone,69 Bromfield St,Boston,MA,4,866,Downtown
The Shannon Tavern,558 E 3rd St,Boston,MA,4,17,South Boston
Pressed Juicery,288 Newbury St,Boston,MA,3.5,68,Back Bay
ilona,783 Tremont St,Boston,MA,4,104,Roxbury
Falafel & Couscous,512 Park Dr,Boston,MA,3.5,9,Fenway
